"Date","Number of Sales (7-day)"
"2018-04-27",92
"2018-04-28",228
"2018-04-29",281
"2018-04-30",350
"2018-05-01",410
"2018-05-02",476
"2018-05-03",524
"2018-05-04",494
"2018-05-05",390
"2018-05-06",365
"2018-05-07",316
"2018-05-08",282
"2018-05-09",233
"2018-05-10",200
"2018-05-11",151
"2018-05-12",125
"2018-05-13",103
"2018-05-14",91
"2018-05-15",69
"2018-05-16",57
"2018-05-17",45
"2018-05-18",35
"2018-05-19",37
"2018-05-20",42
"2018-05-21",37
"2018-05-22",38
"2018-05-23",41
"2018-05-24",42
"2018-05-25",48
"2018-05-26",44
"2018-05-27",37
"2018-05-28",39
"2018-05-29",39
"2018-05-30",38
"2018-05-31",36
"2018-06-01",36
"2018-06-02",37
"2018-06-03",37
"2018-06-04",34
"2018-06-05",33
"2018-06-06",29
"2018-06-07",30
"2018-06-08",23
"2018-06-09",22
"2018-06-10",23
"2018-06-11",30
"2018-06-12",29
"2018-06-13",32
"2018-06-14",30
"2018-06-15",31
"2018-06-16",29
"2018-06-17",25
"2018-06-18",17
"2018-06-19",17
"2018-06-20",12
"2018-06-21",14
"2018-06-22",12
"2018-06-23",15
"2018-06-24",15
"2018-06-25",17
"2018-06-26",18
"2018-06-27",19
"2018-06-28",17
"2018-06-29",18
"2018-06-30",18
"2018-07-01",17
"2018-07-02",14
"2018-07-03",11
"2018-07-04",9
"2018-07-05",9
"2018-07-06",9
"2018-07-07",4
"2018-07-08",6
"2018-07-09",7
"2018-07-10",7
"2018-07-11",8
"2018-07-12",7
"2018-07-13",5
"2018-07-14",5
"2018-07-15",3
"2018-07-16",5
"2018-07-17",6
"2018-07-18",5
"2018-07-19",8
"2018-07-20",11
"2018-07-21",11
"2018-07-22",11
"2018-07-23",9
"2018-07-24",8
"2018-07-25",10
"2018-07-26",9
"2018-07-27",6
"2018-07-28",8
"2018-07-29",9
"2018-07-30",11
"2018-07-31",10
"2018-08-01",10
"2018-08-02",8
"2018-08-03",12
"2018-08-04",16
"2018-08-05",21
"2018-08-06",26
"2018-08-07",30
"2018-08-08",29
"2018-08-09",32
"2018-08-10",34
"2018-08-11",29
"2018-08-12",26
"2018-08-13",22
"2018-08-14",22
"2018-08-15",25
"2018-08-16",33
"2018-08-17",29
"2018-08-18",32
"2018-08-19",30
"2018-08-20",30
"2018-08-21",27
"2018-08-22",24
"2018-08-23",15
"2018-08-24",20
"2018-08-25",21
"2018-08-26",21
"2018-08-27",22
"2018-08-28",24
"2018-08-29",31
"2018-08-30",43
"2018-08-31",45
"2018-09-01",47
"2018-09-02",53
"2018-09-03",54
"2018-09-04",51
"2018-09-05",49
"2018-09-06",35
"2018-09-07",32
"2018-09-08",26
"2018-09-09",20
"2018-09-10",20
"2018-09-11",20
"2018-09-12",20
"2018-09-13",24
"2018-09-14",25
"2018-09-15",26
"2018-09-16",27
"2018-09-17",22
"2018-09-18",24
"2018-09-19",21
"2018-09-20",21
"2018-09-21",26
"2018-09-22",28
"2018-09-23",27
"2018-09-24",30
"2018-09-25",30
"2018-09-26",32
"2018-09-27",44
"2018-09-28",36
"2018-09-29",34
"2018-09-30",34
"2018-10-01",38
"2018-10-02",38
"2018-10-03",33
"2018-10-04",29
"2018-10-05",35
"2018-10-06",37
"2018-10-07",36
"2018-10-08",28
"2018-10-09",37
"2018-10-10",37
"2018-10-11",31
"2018-10-12",25
"2018-10-13",40
"2018-10-14",40
"2018-10-15",42
"2018-10-16",37
"2018-10-17",40
"2018-10-18",36
"2018-10-19",39
"2018-10-20",20
"2018-10-21",21
"2018-10-22",23
"2018-10-23",17
"2018-10-24",23
"2018-10-25",28
"2018-10-26",23
"2018-10-27",23
"2018-10-28",27
"2018-10-29",27
"2018-10-30",28
"2018-10-31",19
"2018-11-01",31
"2018-11-02",37
"2018-11-03",37
"2018-11-04",34
"2018-11-05",41
"2018-11-06",52
"2018-11-07",64
"2018-11-08",49
"2018-11-09",41
"2018-11-10",41
"2018-11-11",39
"2018-11-12",51
"2018-11-13",43
"2018-11-14",34
"2018-11-15",39
"2018-11-16",40
"2018-11-17",40
"2018-11-18",41
"2018-11-19",18
"2018-11-20",47
"2018-11-21",47
"2018-11-22",38
"2018-11-23",41
"2018-11-24",41
"2018-11-25",40
"2018-11-26",40
"2018-11-27",20
"2018-11-28",39
"2018-11-29",46
"2018-11-30",58
"2018-12-01",58
"2018-12-02",58
"2018-12-03",62
"2018-12-04",56
"2018-12-05",43
"2018-12-06",36
"2018-12-07",41
"2018-12-08",41
"2018-12-09",41
"2018-12-10",58
"2018-12-11",63
"2018-12-12",101
"2018-12-13",151
"2018-12-14",175
"2018-12-15",197
"2018-12-16",228
"2018-12-17",251
"2018-12-18",270
"2018-12-19",282
"2018-12-20",253
"2018-12-21",264
"2018-12-22",260
"2018-12-23",258
"2018-12-24",238
"2018-12-25",214
"2018-12-26",167
"2018-12-27",177
"2018-12-28",125
"2018-12-29",118
"2018-12-30",93
"2018-12-31",89
"2019-01-01",85
"2019-01-02",82
"2019-01-03",61
"2019-01-04",71
"2019-01-05",64
"2019-01-06",64
"2019-01-07",68
"2019-01-08",72
"2019-01-09",74
"2019-01-10",75
"2019-01-11",69
"2019-01-12",65
"2019-01-13",70
"2019-01-14",58
"2019-01-15",60
"2019-01-16",70
"2019-01-17",66
"2019-01-18",67
"2019-01-19",67
"2019-01-20",80
"2019-01-21",74
"2019-01-22",74
"2019-01-23",69
"2019-01-24",76
"2019-01-25",85
"2019-01-26",148
"2019-01-27",154
"2019-01-28",247
"2019-01-29",255
"2019-01-30",259
"2019-01-31",257
"2019-02-01",379
